Category: All categories

Week,Toshkivka: (Worldwide)
2022-02-20,2
2022-02-27,1
2022-03-06,4
2022-03-13,3
2022-03-20,0
2022-03-27,2
2022-04-03,3
2022-04-10,2
2022-04-17,1
2022-04-24,3
2022-05-01,5
2022-05-08,8
2022-05-15,10
2022-05-22,37
2022-05-29,26
2022-06-05,13
2022-06-12,17
2022-06-19,100
2022-06-26,4
2022-07-03,2
2022-07-10,2
2022-07-17,1
2022-07-24,0
2022-07-31,3
2022-08-07,0
2022-08-14,1
2022-08-21,1
2022-08-28,2
2022-09-04,2
2022-09-11,2
2022-09-18,0
2022-09-25,2
2022-10-02,2
2022-10-09,1
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,2
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,5
2023-01-15,0
2023-01-22,1
2023-01-29,1
2023-02-05,0
2023-02-12,0
2023-02-19,2
2023-02-26,2
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,0
2023-06-04,0
2023-06-11,2
2023-06-18,3
2023-06-25,0
2023-07-02,2
2023-07-09,0
2023-07-16,1
2023-07-23,0
