Category: All categories

Week,enerhodar: (Worldwide)
2022-02-20,6
2022-02-27,100
2022-03-06,5
2022-03-13,2
2022-03-20,2
2022-03-27,12
2022-04-03,5
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,<1
2022-05-15,2
2022-05-22,3
2022-05-29,1
2022-06-05,1
2022-06-12,<1
2022-06-19,<1
2022-06-26,1
2022-07-03,<1
2022-07-10,2
2022-07-17,4
2022-07-24,2
2022-07-31,3
2022-08-07,5
2022-08-14,5
2022-08-21,4
2022-08-28,12
2022-09-04,4
2022-09-11,1
2022-09-18,6
2022-09-25,1
2022-10-02,2
2022-10-09,1
2022-10-16,6
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,0
2022-12-25,1
2023-01-01,1
2023-01-08,0
2023-01-15,<1
2023-01-22,<1
2023-01-29,<1
2023-02-05,<1
2023-02-12,1
2023-02-19,<1
2023-02-26,0
2023-03-05,<1
2023-03-12,<1
2023-03-19,<1
2023-03-26,<1
2023-04-02,1
2023-04-09,<1
2023-04-16,1
2023-04-23,<1
2023-04-30,1
2023-05-07,3
2023-05-14,<1
2023-05-21,<1
2023-05-28,0
2023-06-04,2
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,2
2023-07-09,0
2023-07-16,1
