Category: All categories

Week,kharkiv: (Worldwide)
2022-02-20,41
2022-02-27,100
2022-03-06,17
2022-03-13,10
2022-03-20,9
2022-03-27,8
2022-04-03,7
2022-04-10,7
2022-04-17,7
2022-04-24,5
2022-05-01,6
2022-05-08,11
2022-05-15,8
2022-05-22,4
2022-05-29,4
2022-06-05,3
2022-06-12,3
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,3
2022-07-17,3
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,10
2022-09-11,13
2022-09-18,5
2022-09-25,4
2022-10-02,4
2022-10-09,3
2022-10-16,3
2022-10-23,2
2022-10-30,2
2022-11-06,3
2022-11-13,3
2022-11-20,3
2022-11-27,2
2022-12-04,2
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,1
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,1
2023-05-21,3
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,1
2023-06-25,2
2023-07-02,1
2023-07-09,2
2023-07-16,2
