Category: All categories

Week,voznesensk: (Worldwide)
2022-02-20,1
2022-02-27,15
2022-03-06,18
2022-03-13,100
2022-03-20,61
2022-03-27,10
2022-04-03,6
2022-04-10,3
2022-04-17,3
2022-04-24,2
2022-05-01,2
2022-05-08,3
2022-05-15,2
2022-05-22,0
2022-05-29,1
2022-06-05,0
2022-06-12,2
2022-06-19,2
2022-06-26,1
2022-07-03,0
2022-07-10,2
2022-07-17,2
2022-07-24,4
2022-07-31,1
2022-08-07,2
2022-08-14,5
2022-08-21,2
2022-08-28,4
2022-09-04,2
2022-09-11,4
2022-09-18,0
2022-09-25,4
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,2
2022-11-06,0
2022-11-13,0
2022-11-20,4
2022-11-27,0
2022-12-04,3
2022-12-11,2
2022-12-18,0
2022-12-25,1
2023-01-01,0
2023-01-08,2
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,1
2023-02-26,1
2023-03-05,0
2023-03-12,0
2023-03-19,3
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,1
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,3
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,4
2023-07-16,0
